station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41400,Roosevelt,2/1/2001,5766.3,3365.8,2268.3,137861
41000,Cermak-Chinatown,2/1/2001,2553.9,2574,2002,69382
40190,Sox-35th-Dan Ryan,2/1/2001,3588.6,2165,1604.8,86850
41230,47th-Dan Ryan,2/1/2001,2400.7,1603.3,1197.3,59216
41170,Garfield-Dan Ryan,2/1/2001,4587.7,3002.8,2019.3,111842
40910,63rd-Dan Ryan,2/1/2001,3586.3,2416.5,1950.5,89194
40990,69th,2/1/2001,6869.5,4392.8,2994,166937
40240,79th,2/1/2001,7489.3,4700,3330.3,181907
41430,87th,2/1/2001,5454.7,3301.5,2206.3,131125
40450,95th/Dan Ryan,2/1/2001,14445.6,7166.5,5282.8,338708
41050,Linden,2/1/2001,1095.9,411.8,252.3,24573
41250,Central-Evanston,2/1/2001,955.2,501.3,269.3,22185
40400,Noyes,2/1/2001,593.2,431,215.3,14449
40520,Foster,2/1/2001,708.9,387.5,240.3,16688
40050,Davis,2/1/2001,3528.9,2515.3,1442.8,86409
40690,Dempster,2/1/2001,673.7,415.8,278.3,16249
40270,Main,2/1/2001,1213.8,655.3,377.8,28407
40840,South Boulevard,2/1/2001,841.8,383.3,233,19300
40140,Dempster-Skokie,2/1/2001,2545.5,0,0,50909
40890,O'Hare Airport,2/1/2001,7844.5,5748.3,6120.8,204366
40820,Rosemont,2/1/2001,5236.2,1996.3,1327.8,118020
40230,Cumberland,2/1/2001,4760.3,1561.5,1084.8,105790
40750,Harlem-O'Hare,2/1/2001,2706.4,1011.5,650.3,60775
41280,Jefferson Park,2/1/2001,6661.4,2645.8,1872,151298
41330,Montrose-O'Hare,2/1/2001,1958.6,690,489.3,43889
40550,Irving Park-O'Hare,2/1/2001,3661,1587.3,1130.5,84091
41240,Addison-O'Hare,2/1/2001,2487.2,800.8,543.5,55121
40060,Belmont-O'Hare,2/1/2001,4606.1,2231.3,1586.5,107392
41020,Logan Square,2/1/2001,4636,2252,1496,107712
40570,California/Milwaukee,2/1/2001,2912.7,1374,865.3,67211
40670,Western/Milwaukee,2/1/2001,2844.2,1254.3,773.5,64994
40590,Damen/Milwaukee,2/1/2001,4170.4,1789.5,1266,95630
40320,Division/Milwaukee,2/1/2001,4484.4,1940.3,1324,102745
41410,Chicago/Milwaukee,2/1/2001,2204.9,703.5,423.5,48606
40490,Grand/Milwaukee,2/1/2001,1152.5,479.5,292.5,26138
